strength,environment,mahalanobis,mean_shift_l2,outside_2sigma_any,outside_3sigma_any,outside_train_range_any,tanh_saturation_095,mean_shift_X1,mean_shift_X2,mean_shift_X3,mean_shift_X4,oracle_mse,erm_mean_mse,erm_std_mse,gas_mean_mse,gas_std_mse,erm_excess,gas_excess,gas_minus_erm
mild,env_00.csv,0.2197969437149933,0.145585292895515,0.1126,0.0068,0.0008,0.058,-0.13322969896047965,-0.011414291345663569,-0.05704934421736723,0.007746683149420898,0.09050445086240495,0.09343865066766739,0.0003989226282270405,0.09397769272327423,0.0008473051047565674,0.0029341998052624385,0.0034732418608692806,0.000539042055606842
mild,env_01.csv,0.6028902986192048,0.7236268928962191,0.1298,0.0084,0.0,0.0668,-0.10065690893782187,-0.3190575073793939,0.36291760162188125,-0.5291476053272742,0.08934681946064059,0.09184549152851104,0.0005124102733544976,0.09192316681146621,0.0003958028257070198,0.0024986720678704527,0.002576347350825625,7.767528295517245e-05
mild,env_02.csv,0.786951654805804,0.5026946479437873,0.1326,0.0114,0.0012,0.0676,-0.4788453400546033,0.04807647654087151,-0.12039260229680601,0.08126083370811313,0.09222890671392492,0.09528453052043914,0.0005047856777296914,0.09539831131696701,0.0004193106864220977,0.003055623806514224,0.003169404603042089,0.00011378079652786532
mild,env_03.csv,0.7561942760457487,0.8024837494609584,0.1844,0.0198,0.0014,0.076,-0.4927077966917973,-0.506970082326133,0.3642320895792959,-0.1074035184477969,0.09204501946555421,0.09616988152265549,0.0009454444409339777,0.09619333744049072,0.0004321716465200887,0.004124862057101275,0.004148317974936505,2.3455917835230045e-05
mild,env_04.csv,0.6641599526629101,0.8572386085068973,0.1238,0.0078,0.0004,0.0908,0.45618295497849976,0.20247596964112358,-0.4469170335862964,0.534811920501252,0.09116635612879245,0.09387650340795517,0.00028790532294185504,0.0948323905467987,0.0014179195028938192,0.002710147279162717,0.003666034418006253,0.0009558871388435364
mild,env_05.csv,0.5742310619753912,0.5190022823526674,0.1664,0.0172,0.0034,0.0626,0.2284334007892582,0.056457389525860824,-0.46258463264527233,0.0030937516861853217,0.09161226045033558,0.09430186450481415,0.0006535038365714082,0.09484201371669769,0.0009725343903186764,0.0026896040544785726,0.003229753266362115,0.0005401492118835421
mild,env_06.csv,0.6659057007419525,0.9132420275219296,0.2004,0.0226,0.004,0.0956,-0.25002751463156137,-0.37752444354498743,0.5059332538777764,-0.6107405995234166,0.08732172409401814,0.09101465493440627,0.0006499001671187853,0.09119665324687957,0.00042370420105080324,0.003692930840388131,0.003874929152861431,0.0001819983124732999
mild,env_07.csv,0.7699915852965029,0.5645134437241658,0.1476,0.011,0.0004,0.0686,-0.16808541385129966,-0.45933211170831434,-0.25735542042957976,0.11491266477133423,0.09107211294343336,0.09451837986707687,0.000848451686746292,0.09467482566833496,0.0006808402005270621,0.0034462669236435123,0.003602712724901605,0.0001564458012580927
mild,env_08.csv,0.7172393183836883,0.6521585929194246,0.1674,0.0106,0.0006,0.0588,-0.3136647120931903,-0.5029539136529629,-0.25513588267330717,-0.09417176232725033,0.08863271534486093,0.09228172302246093,0.0007285170608243726,0.0923580750823021,0.00034285297235066097,0.0036490076775999997,0.0037253597374411612,7.635205984116156e-05
mild,env_09.csv,0.40607353034256194,0.29533499719357365,0.058,0.0012,0.0,0.0374,-0.10244492165128172,-0.06927010187835393,-0.267845311147855,-0.013723734078672592,0.09236742377914577,0.09431576281785965,0.00021510917648909838,0.09446440637111664,0.0003044019940662144,0.0019483390387138866,0.0020969825919708723,0.00014864355325698575
moderate,env_00.csv,0.9690898167397591,0.8965878115294327,0.2976,0.0666,0.0186,0.2166,0.6243497260464225,0.30989384674934295,0.011778929906161792,0.563812188522078,0.0894235406213784,0.09443515688180923,0.0010262893220749762,0.09491663575172424,0.0012283578141306757,0.005011616260430826,0.005493095130345835,0.00048147886991500854
moderate,env_01.csv,1.3049186584449324,1.506204923565453,0.3054,0.0566,0.0124,0.2318,0.549054457859727,1.0288296777035644,0.10979597910637115,0.9469143632481382,0.09334419809323892,0.09744601845741271,0.0008918516940351746,0.09771382808685303,0.0011554100343119642,0.004101820364173794,0.0043696299936141075,0.00026780962944031317
moderate,env_02.csv,1.3054968702999412,1.0579591679712184,0.2106,0.0278,0.0038,0.0232,0.11103593812287578,-0.6432801874065969,-0.7764035141354602,-0.3005608179183833,0.09173760751084875,0.09708909094333648,0.0005121452205827587,0.09782636612653732,0.0007013458562498812,0.00535148343248773,0.006088758615688569,0.000737275183200839
moderate,env_03.csv,0.9280777046764807,1.233603846698571,0.1758,0.0166,0.0014,0.0902,0.6905802615569389,0.42340523394375806,-0.8418384105884297,0.3961230254156398,0.09062504979448473,0.09333411902189255,0.00027151543945810376,0.0942354142665863,0.0015944088924598277,0.002709069227407823,0.003610364472101571,0.0009012952446937478
moderate,env_04.csv,1.2747363300939079,1.2189014796033388,0.2086,0.0174,0.0016,0.078,-0.07816430357620943,-0.7437288887734039,0.7853402742052548,-0.5565241704910471,0.09028196218429754,0.09364817887544633,0.00020749630912785587,0.09389646500349044,0.0004361690133794137,0.0033662166911487823,0.0036145028191928996,0.0002482861280441173
moderate,env_05.csv,0.8352475184317371,0.6786237426190376,0.1574,0.0156,0.003,0.1166,-0.560126191292643,0.0739595616430381,0.28793037560300117,-0.24169177876161124,0.09029546921232039,0.09315910041332245,0.0006685826139809526,0.09341930001974105,0.0006827299667093616,0.0028636312010020676,0.003123830807420666,0.0002601996064185985
moderate,env_06.csv,1.0248049123663012,0.7494073072245169,0.2566,0.0392,0.0054,0.0722,0.6903652095352867,0.18435862861847435,0.10662656273632819,-0.19912273038945674,0.09030067016989786,0.09464795142412186,0.0005586019347415427,0.09552383720874787,0.0011146090365999693,0.0043472812542239975,0.005223167038850007,0.0008758857846260099
moderate,env_07.csv,1.2026735350960036,1.624252772753145,0.255,0.041,0.008,0.1538,0.49513037634407203,0.5680182488794974,-0.9107321631941137,1.1139861651211371,0.08973374985709873,0.0939867839217186,0.0003947418849993493,0.0954977497458458,0.002293262954316624,0.004253034064619868,0.005763999888747068,0.0015109658241272
moderate,env_08.csv,1.1403907188848512,0.664717717866869,0.1726,0.0314,0.0076,0.0344,0.02024250386505537,-0.024594872408787688,0.5532289104005078,0.3671140836738275,0.08888611195976351,0.09231936782598496,0.0006182411820962558,0.09283105283975601,0.0007922516231044128,0.003433255866221452,0.003944940879992503,0.0005116850137710516
moderate,env_09.csv,0.9788289557481568,0.8007279923751013,0.2838,0.0538,0.009,0.1556,-0.18630673661766672,-0.4531912944847,0.6235125374253766,-0.11092738138343454,0.08972620458216135,0.0959215447306633,0.0012747864489755108,0.09587848037481309,0.0008726043481670271,0.006195340148501954,0.006152275792651735,-4.3064355850219727e-05
strong,env_00.csv,1.1922893292184353,1.3887469083778945,0.2638,0.0536,0.0066,0.2182,-0.9250229581254193,-0.701761487356936,0.05130554991954953,-0.7601638362090716,0.09210951494767237,0.09642217755317688,0.0009207638673236765,0.0966529369354248,0.0008184758655170888,0.0043126626055045025,0.004543421987752427,0.0002307593822479248
strong,env_01.csv,1.2997407271297727,1.669806615141609,0.1812,0.0074,0.0002,0.1402,0.7214464807470587,1.246040824465957,-0.09866343824403118,0.8398910031107762,0.09136192495814843,0.09334428757429122,0.0005281965679867777,0.09421634823083877,0.0015083171180812712,0.001982362616142791,0.0028544232726903374,0.0008720606565475464
strong,env_02.csv,2.0307299692902063,1.9336969140021696,0.474,0.129,0.0372,0.2588,0.37703862454328857,-0.20231653763627097,-1.452892782801616,1.2021631383077203,0.08677324916547406,0.09651698619127273,0.0014355511570353166,0.09769819229841233,0.0026945815871868605,0.009743737025798671,0.010924943132938264,0.001181206107139593
strong,env_03.csv,1.8058394671363767,1.1933698216796453,0.3524,0.0642,0.014,0.123,0.8579170068000961,0.049459167647750324,-0.29051853366755626,-0.775411318636836,0.0898330811877088,0.10149311870336533,0.0017486232059403556,0.10166738778352738,0.0016346039011621689,0.01166003751565653,0.011834306595818578,0.00017426908016204834
strong,env_04.csv,1.6702375066214301,1.7249286528768575,0.4002,0.1234,0.0388,0.057,-0.31429454788275746,-0.05681046691178816,1.2485715422621746,-1.1464900651070042,0.08922975774213075,0.09999109357595444,0.0032505577271153127,0.09935648888349533,0.0038847026657479215,0.010761335833823688,0.010126731141364573,-0.0006346046924591148
strong,env_05.csv,2.02293475470894,2.8876803998453533,0.609,0.208,0.0632,0.3432,0.9857913080619867,1.7627698348572132,-1.346991498036693,1.5637039368546704,0.08686655751591693,0.09420852959156037,0.0010345365803765656,0.09599148631095886,0.002858960490564252,0.007341972075643438,0.009124928795041926,0.0017829567193984874
strong,env_06.csv,2.20985452166845,2.1736553652331114,0.4458,0.0706,0.012,0.0972,-0.855313768517333,-1.1679594019619202,1.569598976010947,-0.4067504075787866,0.09171602522859114,0.09868396520614624,0.0014966902761688362,0.09832413345575333,0.0009682587095493096,0.006967939977555099,0.006608108227162193,-0.0003598317503929055
strong,env_07.csv,1.6753592072116494,2.611300302652058,0.4774,0.1384,0.0402,0.43,1.3458862546111514,1.3414667560291436,-0.8819868434620762,1.5588603563847365,0.09008542535477795,0.09599674642086028,0.0013979980095222562,0.09650116711854935,0.0025853853977267642,0.005911321066082331,0.006415741763771396,0.0005044206976890647
strong,env_08.csv,1.65552634695871,1.5015132618121871,0.3744,0.0806,0.0162,0.1214,0.06381121722319424,0.23185048514249207,-0.7070524819793771,1.3026098204068484,0.08972229319205215,0.09960439056158066,0.0011158649974559551,0.10067674964666366,0.002474734064333068,0.009882097369528511,0.010954456454611516,0.001072359085083005
strong,env_09.csv,1.7422232462694753,2.3311764345569195,0.4544,0.1236,0.0156,0.3596,-1.0782370228487634,-1.239455419414905,0.4358780296239583,-1.5954777021838644,0.08887578158743953,0.09713573455810547,0.003135235703886257,0.09780055284500122,0.0032551058735293373,0.008259952970665937,0.008924771257561692,0.0006648182868957547
